"","project","study","no","chip","well","plate","sampleID","tag_tube","type","subtype","controltype","collector","host_order","host_family","host_subfamily","host_tribe","host_genus","host_species","sex","location","sublocation","country","weight","date","year","month","day","month_day","datum","kw","BOLD_ID","note","plot_ID","elevation","temp_week","lattitude","longitude","state.province","region","sector","habitat","sample_day","CFU_Caput","CFU_Thorax","CFU_Abdomen","logCFU","tissue","CFUamount","storage","description","tag","genus_tag","group","treatment","PCR","Accession","Tax.ID","BioProject"
"AW.B2.G085_S165","16S_AW_Butterfly_join12","Other",165,"B2","F9",7,"G085","G085","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","21","19.05.2023",2023,5,19,519,"19.05.2023",20,"","",NA,311,11.65714286,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G085_S165","G085","","Pierinae","sample","low","SAMN55876368",1202446,"PRJNA1426605"
"AW.B2.G086_S166","16S_AW_Butterfly_join12","Other",166,"B2","F10",7,"G086","G086","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Malmsbach","Germany","21","26.05.2023",2023,5,26,526,"26.05.2023",21,"","",NA,311,16.98571429,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G086_S166","G086","","Pierinae","sample","high","SAMN55876369",1202446,"PRJNA1426605"
"AW.B2.G087_S167","16S_AW_Butterfly_join12","Other",167,"B2","F11",7,"G087","G087","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Malmsbach","Germany","26","26.05.2023",2023,5,26,526,"26.05.2023",21,"","",NA,311,16.98571429,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G087_S167","G087","","Pierinae","sample","high","SAMN55876370",1202446,"PRJNA1426605"
"AW.B2.G088_S168","16S_AW_Butterfly_join12","Other",168,"B2","F12",7,"G088","G088","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","18","26.05.2023",2023,5,26,526,"26.05.2023",21,"","",NA,311,16.98571429,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G088_S168","G088","","Pierinae","sample","high","SAMN55876371",1202446,"PRJNA1426605"
"AW.B2.G089_S169","16S_AW_Butterfly_join12","Other",169,"B2","G1",7,"G089","G089","sample","Other","Pieridae","Arne","Lepidoptera","Pieridae","Dismorphiinae","Leptideini","Leptidea","Leptidea sinapis","female","Nuremberg","Malmsbach","Germany","5","02.06.2023",2023,6,2,602,"02.06.2023",22,"","",NA,311,17.27142857,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G089_S169","G089","","Dismorphiinae","sample","med","SAMN55876372",1202446,"PRJNA1426605"
"AW.B2.G090_S170","16S_AW_Butterfly_join12","Other",170,"B2","G2",7,"G090","G090","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Malmsbach","Germany","37","25.06.2023",2023,6,25,625,"25.06.2023",26,"","",NA,311,21.75714286,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G090_S170","G090","","Pierinae","sample","low","SAMN55876373",1202446,"PRJNA1426605"
"AW.B2.G091_S171","16S_AW_Butterfly_join12","Other",171,"B2","G3",7,"G091","G091","sample","Other","Pieridae","Arne","Lepidoptera","Pieridae","Coliadinae","Gonepterygini","Gonepteryx","Gonepteryx rhamni","female","Nuremberg","Laufamholz","Germany","63","08.07.2023",2023,7,8,708,"08.07.2023",27,"","",NA,320,19.82857143,49.46372,11.15081,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G091_S171","G091","","Coliadinae","sample","low","SAMN55876374",1202446,"PRJNA1426605"
"AW.B2.G093_S173","16S_AW_Butterfly_join12","Other",173,"B2","G5",7,"G093","G093","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Maniolini","Maniola","Maniola jurtina","female","Nuremberg","Malmsbach","Germany","32","09.06.2023",2023,6,9,609,"09.06.2023",23,"","",NA,311,17.38571429,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G093_S173","G093","","Satyrinae","sample","med","SAMN55876375",1202446,"PRJNA1426605"
"AW.B2.G094_S174","16S_AW_Butterfly_join12","Other",174,"B2","G6",7,"G094","G094","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Maniolini","Maniola","Maniola jurtina","female","Nuremberg","Malmsbach","Germany","22","17.06.2023",2023,6,17,617,"17.06.2023",24,"","",NA,311,18.57142857,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G094_S174","G094","","Satyrinae","sample","low","SAMN55876376",1202446,"PRJNA1426605"
"AW.B2.G095_S175","16S_AW_Butterfly_join12","Other",175,"B2","G7",7,"G095","G095","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Maniolini","Maniola","Maniola jurtina","female","Nuremberg","Malmsbach","Germany","15","17.06.2023",2023,6,17,617,"17.06.2023",24,"","",NA,311,18.57142857,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G095_S175","G095","","Satyrinae","sample","med","SAMN55876377",1202446,"PRJNA1426605"
"AW.B2.G096_S176","16S_AW_Butterfly_join12","Other",176,"B2","G8",7,"G096","G096","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Maniolini","Maniola","Maniola jurtina","female","Nuremberg","Malmsbach","Germany","17","17.06.2023",2023,6,17,617,"17.06.2023",24,"","",NA,311,18.57142857,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G096_S176","G096","","Satyrinae","sample","med","SAMN55876378",1202446,"PRJNA1426605"
"AW.B2.G097_S177","16S_AW_Butterfly_join12","Other",177,"B2","G9",7,"G097","G097","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Maniolini","Maniola","Maniola jurtina","male","Nuremberg","Malmsbach","Germany","31","25.06.2023",2023,6,25,625,"25.06.2023",26,"","",NA,311,21.75714286,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G097_S177","G097","","Satyrinae","sample","high","SAMN55876379",1202446,"PRJNA1426605"
"AW.B2.G098_S181","16S_AW_Butterfly_join12","Other",181,"B2","H1",7,"G098","G098","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Maniolini","Maniola","Maniola jurtina","female","Nuremberg","Malmsbach","Germany","16","25.06.2023",2023,6,25,625,"25.06.2023",26,"","",NA,311,21.75714286,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G098_S181","G098","","Satyrinae","sample","high","SAMN55876380",1202446,"PRJNA1426605"
"AW.B2.G099_S182","16S_AW_Butterfly_join12","Other",182,"B2","H2",7,"G099","G099","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Maniolini","Maniola","Maniola jurtina","female","Nuremberg","Malmsbach","Germany","14","25.06.2023",2023,6,25,625,"25.06.2023",26,"","",NA,311,21.75714286,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G099_S182","G099","","Satyrinae","sample","high","SAMN55876381",1202446,"PRJNA1426605"
"AW.B2.G100_S183","16S_AW_Butterfly_join12","Other",183,"B2","H3",7,"G100","G100","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Maniolini","Maniola","Maniola jurtina","female","Nuremberg","Laufamholz","Germany","12","08.07.2023",2023,7,8,708,"08.07.2023",27,"","",NA,320,19.82857143,49.46372,11.15081,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW-B2-G100_S183","G100","","Satyrinae","sample","high","SAMN55876382",1202446,"PRJNA1426605"
"AW.B2.P40_S193","16S_AW_Butterfly_join12","Peru",193,"B2","A1",6,"P40","1","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Coliadini","Phoebis","Phoebis sennae","unknown","Manu","Pantiacolla","Peru","75","21.04.2023",2023,4,21,421,"21.04.2023",16,"ANDIV11933-24","",43,430,22.9734003,-12.642,-71.241,"Madre de Dios","Manu","Pantiacolla",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P40_S193","P40","","Coliadinae","sample","med","SAMN55876383",1202446,"PRJNA1426605"
"AW.B2.P41_S194","16S_AW_Butterfly_join12","Peru",194,"B2","A2",6,"P41","2","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Coliadini","Anteos","Anteos menippe","unknown","Manu","Pantiacolla","Peru","81","21.04.2023",2023,4,21,421,"21.04.2023",16,"ANDIV11934-24","",43,430,22.9734003,-12.642,-71.241,"Madre de Dios","Manu","Pantiacolla",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P41_S194","P41","","Coliadinae","sample","med","SAMN55876384",1202446,"PRJNA1426605"
"AW.B2.P42_S195","16S_AW_Butterfly_join12","Peru",195,"B2","A3",6,"P42","3","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Coliadini","Anteos","Anteos menippe","unknown","Manu","Pantiacolla","Peru","114","21.04.2023",2023,4,21,421,"21.04.2023",16,"ANDIV11935-24","",43,430,22.9734003,-12.642,-71.241,"Madre de Dios","Manu","Pantiacolla",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P42_S195","P42","","Coliadinae","sample","med","SAMN55876385",1202446,"PRJNA1426605"
"AW.B2.P43_S196","16S_AW_Butterfly_join12","Peru",196,"B2","A4",6,"P43","4","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius sara","unknown","Manu","Pantiacolla","Peru","54","21.04.2023",2023,4,21,421,"21.04.2023",16,"ANDIV11936-24","",43,430,22.9734003,-12.642,-71.241,"Madre de Dios","Manu","Pantiacolla",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P43_S196","P43","","Heliconiinae","sample","high","SAMN55876386",1202446,"PRJNA1426605"
"AW.B2.P44_S197","16S_AW_Butterfly_join12","Peru",197,"B2","A5",6,"P44","5","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius sara","unknown","Manu","Pantiacolla","Peru","31","21.04.2023",2023,4,21,421,"21.04.2023",16,"ANDIV11937-24","",43,430,22.9734003,-12.642,-71.241,"Madre de Dios","Manu","Pantiacolla",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P44_S197","P44","","Heliconiinae","sample","high","SAMN55876387",1202446,"PRJNA1426605"
"AW.B2.P45_S198","16S_AW_Butterfly_join12","Peru",198,"B2","A6",6,"P45","6","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Manu","Pantiacolla","Peru","73","22.04.2023",2023,4,22,422,"22.04.2023",16,"ANDIV11938-24","",43,430,22.6422061,-12.642,-71.241,"Madre de Dios","Manu","Pantiacolla",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P45_S198","P45","","Heliconiinae","sample","med","SAMN55876388",1202446,"PRJNA1426605"
"AW.B2.P46_S199","16S_AW_Butterfly_join12","Peru",199,"B2","A7",6,"P46","7","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Manu","Pantiacolla","Peru","49","22.04.2023",2023,4,22,422,"22.04.2023",16,"ANDIV11939-24","",43,430,22.6422061,-12.642,-71.241,"Madre de Dios","Manu","Pantiacolla",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P46_S199","P46","","Heliconiinae","sample","med","SAMN55876389",1202446,"PRJNA1426605"
"AW.B2.P47_S200","16S_AW_Butterfly_join12","Peru",200,"B2","A8",6,"P47","8","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Manu","Pantiacolla","Peru","73","22.04.2023",2023,4,22,422,"22.04.2023",16,"ANDIV11940-24","",43,430,22.6422061,-12.642,-71.241,"Madre de Dios","Manu","Pantiacolla",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P47_S200","P47","","Heliconiinae","sample","med","SAMN55876390",1202446,"PRJNA1426605"
"AW.B2.P48_S201","16S_AW_Butterfly_join12","Peru",201,"B2","A9",6,"P48","9","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Paucartambo","Tono","Peru","48","26.04.2023",2023,4,26,426,"26.04.2023",17,"ANDIV11941-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P48_S201","P48","","Heliconiinae","sample","high","SAMN55876391",1202446,"PRJNA1426605"
"AW.B2.P49_S202","16S_AW_Butterfly_join12","Peru",202,"B2","A10",6,"P49","10","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius wallacei","unknown","Paucartambo","Tono","Peru","63","26.04.2023",2023,4,26,426,"26.04.2023",17,"ANDIV11942-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P49_S202","P49","","Heliconiinae","sample","med","SAMN55876392",1202446,"PRJNA1426605"
"AW.B2.P50_S203","16S_AW_Butterfly_join12","Peru",203,"B2","A11",6,"P50","11","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius wallacei","unknown","Paucartambo","Tono","Peru","112","26.04.2023",2023,4,26,426,"26.04.2023",17,"ANDIV11943-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P50_S203","P50","","Heliconiinae","sample","med","SAMN55876393",1202446,"PRJNA1426605"
"AW.B2.P51_S204","16S_AW_Butterfly_join12","Peru",204,"B2","A12",6,"P51","12","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius doris","unknown","Paucartambo","Tono","Peru","79","26.04.2023",2023,4,26,426,"26.04.2023",17,"ANDIV11944-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P51_S204","P51","","Heliconiinae","sample","med","SAMN55876394",1202446,"PRJNA1426605"
"AW.B2.P52_S205","16S_AW_Butterfly_join12","Peru",205,"B2","B1",6,"P52","13","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius wallacei","unknown","Paucartambo","Tono","Peru","59","26.04.2023",2023,4,26,426,"26.04.2023",17,"ANDIV11945-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P52_S205","P52","","Heliconiinae","sample","med","SAMN55876395",1202446,"PRJNA1426605"
"AW.B2.P53_S206","16S_AW_Butterfly_join12","Peru",206,"B2","B2",6,"P53","14","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Pierinae","Pierini","Melete","Melete lycimnia","unknown","Paucartambo","Tono","Peru","40","26.04.2023",2023,4,26,426,"26.04.2023",17,"ANDIV11946-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P53_S206","P53","","Pierinae","sample","med","SAMN55876396",1202446,"PRJNA1426605"
"AW.B2.P54_S207","16S_AW_Butterfly_join12","Peru",207,"B2","B3",6,"P54","15","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Dismorphiinae","Dismorphiini","Pseudopieris","Pseudopieris nehemia","unknown","Paucartambo","Tono","Peru","25","26.04.2023",2023,4,26,426,"26.04.2023",17,"ANDIV11947-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P54_S207","P54","","Dismorphiinae","sample","med","SAMN55876397",1202446,"PRJNA1426605"
"AW.B2.P55_S208","16S_AW_Butterfly_join12","Peru",208,"B2","B4",6,"P55","16","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius sara","unknown","Paucartambo","Tono","Peru","39","28.04.2023",2023,4,28,428,"28.04.2023",17,"ANDIV11948-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P55_S208","P55","","Heliconiinae","sample","high","SAMN55876398",1202446,"PRJNA1426605"
"AW.B2.P56_S209","16S_AW_Butterfly_join12","Peru",209,"B2","B5",6,"P56","17","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius wallacei","unknown","Paucartambo","Tono","Peru","55","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11949-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P56_S209","P56","","Heliconiinae","sample","med","SAMN55876399",1202446,"PRJNA1426605"
"AW.B2.P57_S210","16S_AW_Butterfly_join12","Peru",210,"B2","B6",6,"P57","18","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius erato","unknown","Paucartambo","Tono","Peru","42","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11950-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P57_S210","P57","","Heliconiinae","sample","high","SAMN55876400",1202446,"PRJNA1426605"
"AW.B2.P58_S211","16S_AW_Butterfly_join12","Peru",211,"B2","B7",6,"P58","19","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius doris","unknown","Paucartambo","Tono","Peru","70","28.04.2023",2023,4,28,428,"28.04.2023",17,"ANDIV11951-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P58_S211","P58","","Heliconiinae","sample","med","SAMN55876401",1202446,"PRJNA1426605"
"AW.B2.P59_S212","16S_AW_Butterfly_join12","Peru",212,"B2","B8",6,"P59","20","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius wallacei","unknown","Paucartambo","Tono","Peru","46","28.04.2023",2023,4,28,428,"28.04.2023",17,"ANDIV11952-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P59_S212","P59","","Heliconiinae","sample","med","SAMN55876402",1202446,"PRJNA1426605"
"AW.B2.P60_S213","16S_AW_Butterfly_join12","Peru",213,"B2","B9",6,"P60","21","sample","Peru","Heliconius","Yenny","Lepidoptera","Nymphalidae","Heliconiinae","Heliconiini","Heliconius","Heliconius doris","unknown","Paucartambo","Tono","Peru","63","28.04.2023",2023,4,28,428,"28.04.2023",17,"ANDIV11953-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P60_S213","P60","","Heliconiinae","sample","med","SAMN55876403",1202446,"PRJNA1426605"
"AW.B2.P61_S214","16S_AW_Butterfly_join12","Peru",214,"B2","B10",6,"P61","22","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Pierinae","Pierini","Melete","Melete lycimnia","unknown","Paucartambo","Tono","Peru","33","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11954-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P61_S214","P61","","Pierinae","sample","med","SAMN55876404",1202446,"PRJNA1426605"
"AW.B2.P62_S215","16S_AW_Butterfly_join12","Peru",215,"B2","B11",6,"P62","23","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Coliadini","Phoebis","Phoebis neocypris","unknown","Paucartambo","Tono","Peru","107","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11955-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P62_S215","P62","","Coliadinae","sample","high","SAMN55876405",1202446,"PRJNA1426605"
"AW.B2.P63_S216","16S_AW_Butterfly_join12","Peru",216,"B2","B12",6,"P63","24","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Coliadini","Phoebis","Phoebis neocypris","unknown","Paucartambo","Tono","Peru","106","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11956-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P63_S216","P63","","Coliadinae","sample","low","SAMN55876406",1202446,"PRJNA1426605"
"AW.B2.P64_S217","16S_AW_Butterfly_join12","Peru",217,"B2","C1",6,"P64","25","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Coliadini","Rhabdodryas","Rhabdodryas trite","unknown","Paucartambo","Tono","Peru","67","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11957-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P64_S217","P64","","Coliadinae","sample","low","SAMN55876407",1202446,"PRJNA1426605"
"AW.B2.P65_S218","16S_AW_Butterfly_join12","Peru",218,"B2","C2",6,"P65","26","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Coliadini","Rhabdodryas","Rhabdodryas trite","unknown","Paucartambo","Tono","Peru","61","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11958-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P65_S218","P65","","Coliadinae","sample","med","SAMN55876408",1202446,"PRJNA1426605"
"AW.B2.P66_S219","16S_AW_Butterfly_join12","Peru",219,"B2","C3",6,"P66","27","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis salome","unknown","Paucartambo","Tono","Peru","12","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11959-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P66_S219","P66","","Coliadinae","sample","low","SAMN55876409",1202446,"PRJNA1426605"
"AW.B2.P67_S220","16S_AW_Butterfly_join12","Peru",220,"B2","C4",6,"P67","28","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Coliadini","Phoebis","Phoebis neocypris","unknown","Paucartambo","Tono","Peru","98","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11960-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P67_S220","P67","","Coliadinae","sample","med","SAMN55876410",1202446,"PRJNA1426605"
"AW.B2.P68_S221","16S_AW_Butterfly_join12","Peru",221,"B2","C5",6,"P68","29","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Coliadini","Phoebis","Phoebis philea","unknown","Paucartambo","Tono","Peru","173","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11961-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P68_S221","P68","","Coliadinae","sample","med","SAMN55876411",1202446,"PRJNA1426605"
"AW.B2.P69_S223","16S_AW_Butterfly_join12","Peru",223,"B2","C7",6,"P69","30","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Euremini","Abaeis","Abaeis albula","unknown","Paucartambo","Tono","Peru","6","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11962-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P69_S223","P69","","Coliadinae","sample","high","SAMN55876412",1202446,"PRJNA1426605"
"AW.B2.P70_S224","16S_AW_Butterfly_join12","Peru",224,"B2","C8",6,"P70","31","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Coliadini","Aphrissa","Aphrissa statira","unknown","Paucartambo","Tono","Peru","48","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11963-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P70_S224","P70","","Coliadinae","sample","high","SAMN55876413",1202446,"PRJNA1426605"
"AW.B2.P71_S225","16S_AW_Butterfly_join12","Peru",225,"B2","C9",6,"P71","32","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Pierinae","Pierini","Glutophrissa","Glutophrissa drusilla","unknown","Paucartambo","Tono","Peru","41","27.04.2023",2023,4,27,427,"27.04.2023",17,"ANDIV11964-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P71_S225","P71","","Pierinae","sample","high","SAMN55876414",1202446,"PRJNA1426605"
"AW.B2.P72_S226","16S_AW_Butterfly_join12","Peru",226,"B2","C10",6,"P72","33","sample","Peru","Pieridae","Yenny","Lepidoptera","Pieridae","Coliadinae","Euremini","Pyrisitia","Pyrisitia nise","unknown","Paucartambo","Tono","Peru","10","29.04.2023",2023,4,29,429,"29.04.2023",17,"ANDIV11965-24","",80,800,21.8515625,-12.953,-71.532,"Cusco","Paucartambo","Tono",NA,NA,NA,NA,NA,NA,"abdomen","","EtOH","AW-B2-P72_S226","P72","","Coliadinae","sample","high","SAMN55876415",1202446,"PRJNA1426605"
